scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,1x2_market,over_under_2_market,over_under_2_5_market,over_under_3_market,over_under_3_5_market,asian_handicap_-2_5_market,asian_handicap_-2_market,asian_handicap_-1_5_market,asian_handicap_-1_market,asian_handicap_-0_5_market,asian_handicap_-0_25_market,asian_handicap_0_market,asian_handicap_+0_25_market,asian_handicap_+0_5_market,asian_handicap_+1_market,asian_handicap_+1_5_market,asian_handicap_+2_market
2026-01-08 15:43:40 UTC,2026-01-08 17:30:00 UTC,Cremonese,Cagliari,Serie A,,,,Stadio Giovanni Zini,Cremona,Italy,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
2026-01-08 15:47:37 UTC,2026-01-08 18:00:00 UTC,PSG,Marseille,Super Cup,,,,Jaber Al Ahmad International Stadium,Kuwait,Kuwait,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
